fonte;categoria;subcategoria;titulo;preco;url_produto
mercadolivre;smartphone;iphone;iPhone 17 Pro Max 2TB - Prateado - Distribuidor Autorizado;13082;https://www.mercadolivre.com.br/iphone-17-pro-max-2tb-prateado-distribuidor-autorizado/p/MLB1055308721#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=11&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB4199957747&sid=search
mercadolivre;smartphone;iphone;iPhone 17 Pro Max 256GB - Prateado - Distribuidor Autorizado;8781;https://www.mercadolivre.com.br/iphone-17-pro-max-256gb-prateado-distribuidor-autorizado/p/MLB1055308605#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=12&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB5687309408&sid=search
mercadolivre;smartphone;iphone;iPhone 16e (128 GB) - Preto - Distribuidor Autorizado;3509;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=b95Rh54j4QWyva%2FfChg7AEUO0TDGFQpKwgOUIleGnr8XI5zqxg2EuVCowf%2FNE28E75hfuvhzhgCOFTKtbAVFkuGBwRGfqTLur%2F1r%2FZr4xAHYUVO9SlEFI9KNQKaxHPn%2FNVE7V72smVAe04aYoTdhWSyGvbCoROljm%2FdE4jdvq6TLLSkLfMaKRilpod2NG%2Bp5G05bLHrlON%2F7MoToSFGzCyCAraMNIjr9pn2XENwa30X0UmAGLAq6Wau6c0Of3Pnkh4qfe43D%2FCoFNBfxkwXnXobWMT297VM%2Bzl55vOpsYc13XY7wdlE0aLfoTOLofn%2FuX8b5vZKv%2B5UIiruRKnJk%2Fb%2BEjxalRKoCXoPtYT0KNPWPGzMRxLmVfOB7LPnRB7ZUXj8oneSZSTG6utFtLayWlgLj1zxddy%2BhbS8U2dHhx7aeFNd%2F79x56k49ygAK1jrM3pm9dw3WNDYVal6HGpeH4fe3lKnm%2Fwzvv3mgTOv2QHvZudB0M9ftktzDXIljUgJHLPUAolDVnbwhxClbGkEo%2BGIkVyIbX6VBtLBzo%2Bea24pX1nAtbYUyAUuG5ZFebJz23253RrCLC4pHMe6ngrskQe9g0ziABgEeXxJtCztjghDASPUHMMAqR%2BIm5rYabVrjcUMDAwe1xFLX644K8jmoQnPtC6L%2BYf5qrggnHd6no4Wjc03HUHC%2BL0F9HsBzuxjpUqDWUbw0li%2FBkIw3c3zYAPV8fwoW9l1LrviIZYZGtZ5N0rVCqz2t%2FPYQ%2FjIKR%2BtYzIjiG2yweo0Fcpe%2Fv7mgf4l9klSTVnAyh%2BuXfkseR3LtBHQQE0DfLzYj76oBtA7JkUHivhjIjqu%2BTPONgflk1ENks%2FAXP7nQVu46q1IcHcrwW94sPFDuvIDfZq9RVuIxLlICm%2BWuzsyms%2BUq%2FstibXK0mKSrV4d55KYqKPK%2FHEmny5gudocV1F2e%2BvvmPYASWKxCnCRgYq2Gpc6Hl09krm0%3D&pdp_filters=item_id%3AMLB3986439067#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1046215784&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=13&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB3986439067&sid=search
mercadolivre;smartphone;iphone;Apple iPhone 16 (256 GB) - Rosa - Distribuidor Autorizado;5000;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=B8ipN0d6ymUEazLphjcI24eUtlg91z6hVh2kVk%2FjNUof%2BS43eQ1GDJsxmC%2FjkzeA%2BsqEzKcVFCkTsD%2FH1SEpWtHxMdtkTcKjlUKpEghReRsKcEtCg%2FF2dI3BgQUY8sGc0jFPJFQ3J5Yqk3HpbMkth%2BtJpKVciUr7HU2l1VVtUOo6ZcV1TzNuQcWPOY5hpwHdfyazkUCVtG6NxS8THDgN7PG%2BplvcLawe74isuELcBxUL8Yw8bWcCFCdamoMvnXRmJf8OO2k%2BJm6yOy9Y3DCsL2Y3uDirexyaUXimax0u%2FDjNYyhzmgdUyJKNfYm2VlzTXyS2PNnBvD7DJLFvcx7%2FtOEepIAWhIafO%2BMxtvi3oy54oVbvYqi5KxsCJoyX67Bb3z7QP0Y2sYMLqf%2FWUbVU1WaG7HUTlO7a5YM4jqQGngtfD%2B7B5NYmCXwEmsC4TmuuZNGLNQ%2BV1VA5JX1JNfuzcJrpwX3NxGorLNkYVO8zn6%2FbjCo1TTFz74xwyEDNaKr%2F%2FDTnjKg8LloYKSqKYpLue86C0u%2FBzGs7t59jQIC1O4lCVsi%2B3AyoKyrszbM5grejLT%2FgJF75lnOWeqYEp40PeM39TI2cTWaBhzGiIfEOD1IwitRwv6QR5K5WaCJxs%2FTFZjEpov2%2FfjBT5Lc8dL6CE1TrNFNu79oz8RnIhenzJzs%2Ft%2FTgbWwjpiUrot9vIJT694XlM08KIRRUPrDMCX%2Bk8UnwxEAwCXq2GsKZFJrsx%2FZFjDm5ikIYBoOlNuXPqaXEiM66c5bNwAne4DCaJvg1yxOa%2BGQVLxa1HxtCkVyQ9OSOmDTDlLj4L56VaMC9E9Ox5DDY%2FYeS3USLn2L5u110qAE2CfxLB4rJ1zXloFvW%2FVC7pRSkjgXwIrIPbk%2FDiOS7zOk8joj0zXXTBw3YbnPlL80Z9y39%2BS8GDHCQb93jZLLMJRMUCIuA1xf4J%2FWMYgNFOxiKeeTNr9erhK0Yw%2FI8ZE%2BntQ%3D%3D&pdp_filters=item_id%3AMLB5217693736#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1040287790&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=14&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB5217693736&sid=search
mercadolivre;smartphone;iphone;iPhone 17 Pro 256GB - Prateado - Distribuidor Autorizado;8423;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=v0EI2R0CJ2ERRCQTT1WtVrS3r3dnmpZOvvREKo2o47FZs8DB7Xmj8i%2F2hcybBUg4U6%2F%2BRnbleUkDcsXIcOYVA1DBJtJ49snSnOc3Kbrw1zbueRsvDeDbBT6UJ4bQharP0XxW9uJRd6zy6v0XvSwbsWQhDz0uYAbh72jYdxHJC0NfsaPyFaySNcPI1LgLeJs6VLCJjA6Z7%2F5aLCRehyIgTSisKroZuzuSK1lzngCrXokk2dZC%2B96tnjRaSO1%2FjevNF9Vj2347ZnDnjvC6qcgmlgh1fUKijb5a5IAPv4PSEP26RD1bP9YigzjtN2%2B0zvllAnHNK0WbPfa4yNKAeSk%2F8RddsKWYw3Hhtgnbokd3qilwAc6WhZH6gGG%2FnhDTAqVJX5J3%2BaputcX8kesEEv9Dv0KMHgx4CB1D1lwsC0XmLoZq45Zl7WcPLbifZ%2FA4cWmQMAM34vo9YXdJuTVqN4KnZyrhFT4qD0K8lGKhL2hvna%2BHy%2FMqqun4TV2l9oMYyOBVBeOfkAsFqX9WLRooB80S4K7CR4e%2FbRWcinDuBs0Sy%2BgRkQqcsDNKwqjlJPZRaqRdTp29eVrqkrtofQp2fp%2FOs78BMcu9BHly3lofD9wh8%2FmtLfRlu2VOXtOhAye9am8LbvSuyZjfW9Q9%2BklR%2BlqyN593FLOTMe3Rr57tVpDkShdc1lYl1%2F2ugl2xflL9wlZlsa3qUX4Y%2BjICplObSGRI22ObV8EA%2FBF23VAzIz4I2hO6gX07saVNnUKxqqciJsMce6UfNZa7LclCnp%2FaO%2Bj0ahszUmTNwuDFBsvdiCvZaM4LIsWpW0%2Bp3G9UObLpqzQm60E0zWlUx2PJW%2BwudI22EQ%2FORT4yM5Fc8tT77dS%2FSBdPbLHisrEGHhqwHH1rzMWjMb6aguU7nb0%2Bg1gMoCsZCQKpdK0cM%2BhlrgmiO4FI7RAmDCIZ7o0r8u5ofGzrb%2Bt3Gc3oUBliBfw93E6Fx%2BKR7wszfgo%3D&pdp_filters=item_id%3AMLB4200151865#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1055308767&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=15&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB4200151865&sid=search
mercadolivre;smartphone;iphone;iPhone 17 256 GB - Sálvia - Distribuidor Autorizado;5598;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=eVZ4lhGpzVv0pbQBPLpcLKh%2BJf%2Fe2VHjkvJySoG6pYudJMuFTrj4BtQD%2FNSYhm%2F0cxYua2rw27yUEWNr0PYMr4JVPWiVpyd2ZLfYTTjzG4PqTfaAqdYYFmcrWqFOn9Jsn4piw4iPSw9BJNTxiBxQa9VCrQ6c2lT7AkqXQQZOTixmoULewdKEcuoPbSaNvljziYfL9sljki7fVlFVllOkMJeXq1k0ZEF3RePLQgDm6ZjFpIuh6OGxjEBsGGN7fcTP%2F6K2ILFBQXWsRqt3%2BjVXsYL1FZrckZLrPY18vGQcO8dkM87z1HqF1KyW2%2BmSfF%2Fhr4rLbNwJbrSnxYzxa%2BP7sp0CVLqwB%2BHELl%2BMoNfdZQTOLxcoRHlaJh5NZJ3f97HOYnmabXG7OAI06n3VTaQv7Wvb%2FnLNLQnN3OorNaCy12C5FCj3ndfQysxgwPt%2FrUmkfFZNMoMMSopnAEAoatyCrfi7aTHhZoG3BoyYqG%2FZFpv%2FrOLPehfaY66LrEBude7KqI4REBmSvXjF4n4OkpoYzSgpbqpLAqilT3QXfA%2F8txfBaxoTCGudEiFSqF5Q1hLrx1etIpr6SKXlmjJkB1bG8%2BUoiw7un5bmCMya%2FvSmSDNgbLkVpp92qLKT74jpOh9maUmmjsTYYt34%2BG9Iq3NhNkpei%2FfG%2FGqJ5KIif%2BMHWjYTI69fxxZUNBZ7LjO8b0k3OwcoXM1Tg8jVj8ihLox0OVZdPLWkISAfvrzdVnsa2AJXNcWavZuZk%2BWEPGKf7%2FoSXD%2F6S4PcfkeZdgrSMKJ0WqCpY7sag2NA%2F4kYlbVMcFusOKJsv1ka88NkWgxyNvp1yhTTp9huHHeivf%2FqFuUxhrdsXTzc1BdYmxAJgmJiYSut1hy%2FyNY3AQSgiGKYIaDl8sjpGgY1JeytvYN9nQ5QNAf158GBOp6u%2FiBcuCTRw4h67cGNmhZRdcbBTuqr53D4BhAsfvfTbpquqP624Hcy&pdp_filters=item_id%3AMLB6545162768#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1055308843&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=16&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB6545162768&sid=search
mercadolivre;smartphone;iphone;iPhone 17 Pro 256GB - Prateado - Distribuidor Autorizado;8423;https://www.mercadolivre.com.br/iphone-17-pro-256gb-prateado-distribuidor-autorizado/p/MLB1055308767#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=17&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB4200151865&sid=search
mercadolivre;smartphone;iphone;Apple iPhone 15 (256 GB) - Azul - Distribuidor Autorizado;4501;https://www.mercadolivre.com.br/apple-iphone-15-256-gb-azul-distribuidor-autorizado/p/MLB1027172673#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=18&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB4509857198&sid=search
mercadolivre;smartphone;iphone;Apple iPhone 15 (128 GB) - Azul - Distribuidor Autorizado;4299;https://www.mercadolivre.com.br/apple-iphone-15-128-gb-azul-distribuidor-autorizado/p/MLB1027172667#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=19&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB4408547152&sid=search
mercadolivre;smartphone;iphone;iPhone 17 Pro 1TB - Azul-profundo - Distribuidor Autorizado;10224;https://www.mercadolivre.com.br/iphone-17-pro-1tb-azul-profundo-distribuidor-autorizado/p/MLB1055308823#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=20&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB4199957663&sid=search
